theater_name,theater_address,jibunAddress,theater_lat,theater_lon
CGV 죽전,경기도 용인시 수지구 죽전동 1285,경기도 용인시 수지구 죽전동 1285 (주)신세계백화점경기점,37.3250148,127.1081239
CGV 파주문산,경기도 파주시 문산읍 방촌로 1719-10,경기도 파주시 문산읍 당동리 892,37.8666384,126.7841218
CGV 파주야당,경기도 파주시 야당동 1066,경기도 파주시 야당동 1066,37.7131712,126.7599312
CGV 판교,"경기도 성남시 분당구 백현동 541, 현대백화점 5층",경기도 성남시 분당구 백현동 541 현대백화점 판교점,37.3927746,127.1120316
CGV 평촌,경기도 안양시 동안구 부림동 관평로170번길 33,경기도 안양시 동안구 관양동 1606 평촌주공공이,37.3930077,126.9622757
CGV 평택,경기도 평택시 원평동 평택로 51,경기도 평택시 평택동 185-579 평택민자역사,36.9909191,127.0846944
CGV 평택소사,경기도 평택시 비전동 1090-2,경기도 평택시 비전동 1090-2,37.0004724,127.1115024
CGV 포천,경기도 포천시 소흘읍 송우리 110-6,경기도 포천시 소흘읍 송우리 110-6,37.8293934,127.1495962
CGV 화성봉담,경기도 화성시 봉담읍 동화리 564,경기도 화성시 봉담읍 동화리 564,37.2190551,126.9555409
CGV 화정,경기도 고양시 덕양구 화정1동 화중로104번길 28,경기도 고양시 덕양구 화정동 966-1 화정씨네마플러스,37.6356958,126.8331979
CGV 계양,"인천광역시 계양구 작전동 899-1, 메트로몰 8층",인천광역시 계양구 작전동 899-1 메카브,37.5338765,126.7345163
CGV 남주안,인천광역시 남구 주안동 미추홀대로 736,인천광역시 미추홀구 주안동 141-8 아이하니,37.4633112,126.6808039
CGV 부평,인천광역시 부평구 청천1동 마장로 489,인천광역시 부평구 청천동 386 아이즈빌아울렛,37.5213637,126.7037206
CGV 연수역,인천광역시 연수구 청학동 벚꽃로 106,인천광역시 연수구 청학동 496-4 연수광장프라자,37.4176742,126.6772219
CGV 인천,"인천광역시 남동구 예술로 198, SEE&SEE 빌딩 4층",인천광역시 남동구 구월동 1130 CGV 홈플러스,37.451739,126.7019625
CGV 인천공항,인천광역시 중구 운서동 공항로 272,인천광역시 중구 운서동 2840 인천공항,37.4583507,126.4276993
CGV 인천논현,인천광역시 남동구 논현2동 논현로26번길 34,인천광역시 남동구 논현동 646-2,37.4022835,126.7086048
CGV 인천연수,"인천광역시 연수구 동춘동 청능대로 210, 4층",인천광역시 연수구 동춘동 926 스퀘어원,37.4059982,126.6836221
CGV 인천학익,인천광역시 남구 학익동 401-21,인천광역시 미추홀구 학익동 401-21,37.4456209,126.6518154
CGV 주안역,인천광역시 남구 주안동 염창로 58,인천광역시 미추홀구 주안동 30-1 주안cgv,37.4655439,126.680488
CGV 청라,"인천광역시 서구 청라루비로 76, 청라 스퀘어7",인천광역시 서구 청라동 155-7 청라 스퀘어7,37.5322853,126.6420996
CGV 강릉,강원도 강릉시 옥천동 189,경기도 안성시 옥천동 189,37.0031727,127.2736305
CGV 원주,강원도 원주시 단계동 서원대로 171,강원도 원주시 단계동 877-1 원주시외버스터미널,37.3448012,127.9308481
CGV 인제,강원도 인제군 인제읍 비봉로44번길 100,강원도 인제군 인제읍 남북리 388 하늘내린센터,38.0606741,128.164952
CGV 춘천,강원도 춘천시 퇴계동 1017,강원도 춘천시 퇴계동 1017,37.8505675,127.7437201
CGV 당진,충청남도 당진시 읍내동 우두1로 88,충청남도 당진시 읍내동 1532,36.9019533,126.6302052
CGV 대전,대전광역시 중구 문화1동 계백로 1700,대전광역시 중구 문화동 1-16 세이백화점,36.3206308,127.4087992
CGV 대전가수원,대전광역시 서구 도안동 로11번길 45,대전광역시 서구 가수원동 1042 KD U PLAZA,36.3054488,127.3506089
CGV 대전가오,대전광역시 동구 가오동 557,대전광역시 동구 가오동 557 패션아일랜드,36.3069376,127.45802
CGV 대전탄방,대전광역시 서구 탄방동 745,대전광역시 서구 탄방동 745,36.3470308,127.3888544
CGV 대전터미널,대전광역시 동구 용전동 동서대로 1689,대전광역시 동구 용전동 63-3 대전복합터미널(서관),36.3503331,127.4367146
CGV 보령,충청남도 보령시 대천동 대흥로 51,충청남도 보령시 대천동 324-4,36.3495918,126.5928768
CGV 서산,충청남도 서산시 동문동 안견로 242,충청남도 서산시 동문동 1029-1 디퍼아울렛타운,36.778583,126.4564554
CGV 세종,세종특별자치시 장기면 도움1로 108,세종특별자치시 종촌동 673 몰리브(Mallive),36.5025868,127.2475811
CGV 유성노은,대전광역시 유성구 지족동 노은로 144,대전광역시 유성구 지족동 905-4 노은타운,36.3725376,127.318418
CGV 천안,"충청남도 천안시 동남구 명동길 47, CGV",충청남도 천안시 동남구 대흥동 102-10 CGV,36.8077033,127.1483958
CGV 천안터미널,충청남도 천안시 동남구 신부동 만남로 43,"충청남도 천안시 동남구 신부동 363-2 신세계백화점충청점,천안종합버스터미널",36.820513,127.1563472
CGV 천안펜타포트,충청남도 천안시 서북구 불당동 1289,충청남도 천안시 서북구 불당동 1289 펜타포트,36.7982879,127.1013714
CGV 청주(서문),충청북도 청주시 상당구 서문동 29-2,충청북도 청주시 상당구 서문동 29-2,36.6349813,127.4869205
CGV 청주성안길,충청북도 청주시 상당구 성안동 상당로81번길 33,충청북도 청주시 상당구 북문로1가 170-1 쥬네쓰,36.6352359,127.4881099
CGV 청주율량,충청북도 청주시 청원구 율량동 충청대로 114,충청북도 청주시 청원구 율량동 500-3 그랜드플라자청주호텔,36.6665608,127.4944952
CGV 청주지웰시티,충청북도 청주시 흥덕구 복대1동 대농로 47-1,충청북도 청주시 흥덕구 복대동 3381,36.6433255,127.4278548
CGV 청주터미널,충청북도 청주시 흥덕구 가경동 1416-3,충청북도 청주시 흥덕구 가경동 1416-3 드림플러스,36.6261596,127.4312233
CGV 충북혁신,충청북도 음성군 맹동면 동성리 500,충청북도 진천군 이월면 동성리 500-2,36.8878724,127.4546097
CGV 홍성,충청남도 홍성군 홍성읍 고암리 1042,"충청남도 홍성군 홍성읍 고암리 1042 롯데마트, 홍성터미널",36.6010812,126.6762899
CGV 대구,대구광역시 중구 사일동 15-1,대구광역시 중구 사일동 15-1 동성로파티,35.8713181,128.5945358
CGV 대구수성,"대구광역시 수성구 범물동 1273, 동아백화점 8층",대구광역시 수성구 범물동 1273 동아백화점수성점,35.8210867,128.6404323
CGV 대구스타디움,대구광역시 수성구 대흥동 유니버시아드로 140,대구광역시 수성구 대흥동 504 대구스타디움몰,35.8316602,128.6873259
CGV 대구아카데미,대구광역시 중구 남일동 중앙대로 412,대구광역시 중구 남일동 65-1 아카데미극장,35.8699639,128.59432
CGV 대구월성,대구광역시 달서구 월성동 조암로 29,대구광역시 달서구 월성동 1846 월성동이래타워,35.8246183,128.5269727
CGV 대구이시아,대구광역시 동구 봉무동 팔공로49길 16,대구광역시 동구 봉무동 1545 이시아폴리스 라이프스타일 센터,35.9215484,128.6373571
CGV 대구칠곡,대구광역시 북구 동천동 894-1,대구광역시 북구 동천동 894-1 세븐밸리,35.9441098,128.5603482
CGV 대구한일,대구광역시 중구 성내1동 동성로 39,대구광역시 중구 동성로2가 88-22 씨네시티한일,35.8704373,128.5953252
CGV 대구현대,대구광역시 중구 성내2동 달구벌대로 2077,대구광역시 중구 계산동2가 200 현대백화점,35.8667192,128.5906289
CGV 남포,부산광역시 중구 남포동 비프광장로 18,부산광역시 중구 남포동6가 91,35.09836,129.027307
CGV 대연,부산광역시 남구 대연3동 수영로 305,부산광역시 남구 대연동 73-15 스파크,35.1373407,129.0992614
CGV 동래,부산광역시 동래구 온천동 중앙대로 1523,부산광역시 동래구 온천동 153-8 SKHUBSKY,35.2208431,129.0855308
CGV 서면,"부산광역시 진구 전포3동 892-20, 지오플레이스6층",부산광역시 부산진구 전포동 892-20 지오플레이스,35.1494322,129.0639774
CGV 서면삼정타워,부산광역시 부산진구 부전2동 중앙대로 672,부산광역시 부산진구 부전동 227-2 삼정타워,35.1529881,129.0596393
CGV 센텀시티,"부산광역시 해운대구 우동 센텀남대로 35, 신세계백화점센텀시티점 5F",부산광역시 해운대구 우동 1495 신세계백화점센텀시티점,35.1688179,129.1295233
CGV 아시아드,"부산광역시 연제구 거제2동 1208, 부산아시아드주경기장노외주차장",부산광역시 연제구 거제2동 1208 부산아시아드주경기장노외주차장,35.1909426,129.061412
CGV 울산삼산,울산광역시 남구 삼산동 화합로 185,울산광역시 남구 삼산동 1569-1,35.5419627,129.3388287
CGV 울산신천,울산광역시 북구 신천동 51,울산광역시 북구 신천동 51 신천CGV LEEPLEX,35.6349485,129.3557499
CGV 울산진장,울산광역시 북구 진장동 120-9,울산광역시 북구 진장동 120-9 CGV,35.5758471,129.3559333
CGV 정관,부산광역시 기장군 정관면 정관중앙로 45,부산광역시 기장군 정관읍 매학리 717-6,35.3211949,129.1782764
CGV 하단아트몰링,부산광역시 사하구 하단2동 낙동남로 1413,부산광역시 사하구 하단동 526-6 아트몰링,35.106755,128.966475
CGV 해운대,부산광역시 해운대구 우동 해운대로 620,부산광역시 해운대구 우동 539-10 해운대 라뮤에뜨,35.1629713,129.1584586
CGV 화명,부산광역시 북구 화명동 화명대로 16,부산광역시 북구 화명동 2275-1 센츄리빌딩,35.2347832,129.009772
씨네드쉐프 센텀시티,부산광역시 해운대구 센텀남대로 35,부산광역시 해운대구 우동 1495 신세계백화점센텀시티점,35.1688179,129.1295233
CGV 거제,경상남도 거제시 장평동 1211,경상남도 거제시 장평동 1211 디큐브백화점,34.8910818,128.6165933
CGV 구미,경상북도 구미시 원평동 68-1번지,경상북도 구미시 원평동 68-1 멀티복합상가,36.1300888,128.3275566
CGV 김천율곡,"경상북도 김천시 율곡동 1123, 더스퀘어",경상북도 김천시 율곡동 1123 더스퀘어,36.1148779,128.183447
CGV 김해,경상남도 김해시 내동 내외중앙로 137,경상남도 김해시 내동 1131-4,35.2421848,128.8685659
CGV 김해율하,경상남도 김해시 율하2로 111 KR,경상남도 김해시 율하동 1347-2,35.17002,128.8135013
CGV 김해장유,경상남도 김해시 장유면 삼문로 12,경상남도 김해시 대청동 302-5,35.1919388,128.8021267
CGV 마산,"경상남도 창원시 마산회원구 합성동 126-4, 보보스존 8층",경상남도 창원시 마산회원구 합성동 126-4 CGV,35.2375637,128.5823881
CGV 북포항,경상북도 포항시 북구 중앙동 서동로 93,경상북도 포항시 북구 덕산동 235-4,36.0407259,129.3682288
CGV 안동,경상북도 안동시 용상동 경동로 841,경상북도 안동시 용상동 1426-1 CGV안동,36.5611545,128.7493568
CGV 양산물금,경상남도 양산시 물금읍 백호로 68,경상남도 양산시 물금읍 가촌리 1269-13,35.3180074,129.0018933
CGV 양산삼호,경상남도 양산시 삼호동 1010-3,경상남도 양산시 삼호동 1010-3,35.4139087,129.1678275
CGV 창원,경상남도 창원시 의창구 팔용동 창원대로397번길 6,경상남도 창원시 의창구 팔용동 30-1 뉴코아아울렛,35.2345063,128.6421915
