,theater_name,theater_address
8,CGV 명동역 씨네라이브러리,서울특별시 중구 충무로2가 퇴계로 123
9,CGV 목동,서울특별시 양천구 목동 목동동로 257
10,CGV 미아,서울특별시 강북구 미아동 도봉로 34
11,CGV 불광,서울특별시 은평구 대조동 14-24
12,CGV 상봉,서울특별시 중랑구 상봉동 상봉로 131
13,CGV 성신여대입구,서울특별시 성북구 동소문로 106
14,CGV 송파,서울특별시 송파구 문정동 충민로 66 10층
15,CGV 수유,서울특별시 강북구 수유동 도봉로 399
16,CGV 신촌아트레온,서울특별시 서대문구 신촌동 신촌로 129
17,CGV 압구정,서울특별시 강남구 신사동 압구정로30길 45
18,CGV 여의도,"서울특별시 영등포구 여의동 국제금융로 10, 지하 3층"
19,CGV 영등포,서울특별시 영등포구 영등포동4가 441-10 경방 타임스퀘어 4층
20,CGV 왕십리,서울특별시 성동구 행당1동 왕십리광장로 17
21,CGV 용산아이파크몰,서울특별시 용산구 한강로3가 한강대로23길 55
22,CGV 중계,서울특별시 노원구 중계2.3동 동일로204가길 12
23,CGV 천호,서울특별시 강동구 천호동 양재대로 1571
24,CGV 청담씨네시티,서울특별시 강남구 신사동 651 21번지 14층
25,CGV 피카디리1958,서울특별시 종로구 돈의동 돈화문로5가길 1 B2
26,CGV 하계,서울특별시 노원구 중계동 506-1
27,CGV 홍대,서울특별시 마포구 서교동 양화로 153
28,CINE de CHEF 압구정,서울특별시 강남구 신사동 압구정로30길 45
29,CINE de CHEF 용산아이파크몰,서울특별시 용산구 한강로3가 한강대로23길 55
30,CGV 경기광주,경기도 광주시 역동 22-56
31,CGV 고양행신,경기도 고양시 덕양구 행신2동 762-2
32,CGV 광교,"CGV, 313, 광교중앙로 상현1동 수지구 용인시 경기도"
33,CGV 광교상현,"CGV, 313, 광교중앙로 상현1동 수지구 용인시 경기도"
34,CGV 구리,경기도 구리시 인창동 경춘로 243
35,CGV 김포운양,경기도 김포시 운양동 김포한강11로 288-31
36,CGV 김포풍무,풍무동 38-1번지 지하1층 김포시 경기도 KR
37,CGV 김포한강,경기도 김포시 걸포동 1574-4
38,CGV 동백,경기도 용인시 기흥구 동백동 동백죽전대로 444
39,CGV 동수원,경기도 수원시 팔달구 인계동 1113-12
40,CGV 동탄,경기도 화성시 반송동 98
41,CGV 동탄역,경기도 화성시 오산동 967-2416
42,CGV 동탄호수공원,경기도 화성시 동탄면 산척리 89
43,CGV 배곧,"경기도 시흥시 경기도 시흥시 서울대학로278번길 61, 6층 621호"
44,CGV 범계,경기도 안양시 동안구 범계동 뉴코아아울렛 평촌점 11층
45,CGV 부천,
46,CGV 부천역,경기도 부천시 원미구 심곡2동 부일로 460
47,CGV 부천옥길,경기도 부천시 옥길동 745-6
48,CGV 북수원,경기도 수원시 장안구 조원동 893
49,CGV 산본,경기도 군포시 산본동 번영로 505
50,CGV 서현,경기도 성남시 분당구 서현동 256
51,CGV 성남모란,경기도 성남시 중원구 성남동 3499
52,CGV 소풍,경기도 부천시 원미구 상동 송내대로 239
53,CGV 수원,경기도 수원시 팔달구 매산동 덕영대로 924
54,CGV 스타필드시티위례,경기도 하남시 학암동 660
55,CGV 시흥,경기도 시흥시 대야동 복지로 90
56,CGV 안산,경기도 안산시 단원구 고잔동 광덕대로 194 NC백화점 A관 6층
57,CGV 안성,1544-1122
58,CGV 야탑,경기도 성남시 분당구 야탑동 성남대로925번길 16
59,CGV 양주옥정,경기도 양주시 옥정동 963-12
60,CGV 역곡,경기도 부천시 역곡3동 경인로 505
61,CGV 오리,경기도 성남시 분당구 구미1동 탄천상로151번길 20
62,CGV 오산,경기도 오산시 대원동 원동로 22
63,CGV 오산중앙,경기도 오산시 대원동 원동로 22
64,CGV 용인,1544-1122
65,CGV 의정부,
66,CGV 의정부태흥,경기도 의정부시 의정부동 시민로 80
67,CGV 이천,경기도 이천시 중리동 중리천로 58
68,CGV 일산,경기도 고양시 일산동구 장항동 정발산로 24
69,CGV 정왕,경기도 시흥시 정왕1동 정왕대로 210
70,CGV 죽전,경기도 용인시 수지구 죽전동 1285
71,CGV 파주문산,경기도 파주시 문산읍 방촌로 1719-10
72,CGV 파주야당,경기도 파주시 야당동 1066
73,CGV 판교,경기도 성남시 분당구 백현동 판교역로 146-20
74,CGV 평촌,경기도 안양시 동안구 부림동 관평로170번길 33
75,CGV 평택,
76,CGV 평택소사,경기도 평택시 비전동 1090-2
77,CGV 포천,경기도 포천시 소흘읍 송우리 110-6
78,CGV 화성봉담,경기도 화성시 봉담읍 동화리 564
79,CGV 화정,경기도 고양시 덕양구 화정1동 화중로104번길 28
80,CGV 계양,"8층, 메트로몰, 738 장제로 작전동 계양구 인천광역시"
81,CGV 남주안,인천광역시 남구 주안동 미추홀대로 736
82,CGV 부평,인천광역시 부평구 청천1동 마장로 489
83,CGV 연수역,인천광역시 연수구 청학동 벚꽃로 106
84,CGV 인천,
85,CGV 인천공항,인천광역시 중구 운서동 공항로 272
86,CGV 인천논현,인천광역시 남동구 논현2동 논현로26번길 34
87,CGV 인천연수,인천광역시 연수구 동춘동 청능대로 210 4층
88,CGV 인천학익,인천광역시 남구 학익동 401-21
89,CGV 주안역,인천광역시 남구 주안동 염창로 58
90,CGV 청라,"인천광역시 서구 청라동 루비로 76, 스퀘어세븐 3층,4층"
91,CGV 강릉,강원도 강릉시 옥천동 189
92,CGV 원주,강원도 원주시 단계동 서원대로 171
93,CGV 인제,강원도 인제군 인제읍 비봉로44번길 100
94,CGV 춘천,강원도 춘천시 퇴계동 1017
95,CGV 당진,충청남도 당진시 읍내동 우두1로 88
96,CGV 대전,
97,CGV 대전가수원,대전광역시 서구 도안동 로11번길 45
98,CGV 대전가오,대전광역시 동구 가오동 557
99,CGV 대전탄방,대전광역시 서구 탄방동 745
100,CGV 대전터미널,대전광역시 동구 용전동 동서대로 1689
101,CGV 보령,충청남도 보령시 대천동 대흥로 51
102,CGV 서산,충청남도 서산시 동문동 안견로 242
103,CGV 세종,세종특별자치시 장기면 도움1로 108
104,CGV 유성노은,대전광역시 유성구 지족동 노은로 144
105,CGV 천안,
106,CGV 천안터미널,충청남도 천안시 동남구 신부동 만남로 43
107,CGV 천안펜타포트,충청남도 천안시 서북구 불당동 1289
108,CGV 청주(서문),충청북도 청주시 상당구 성안동 상당로81번길 63
109,CGV 청주성안길,충청북도 청주시 상당구 성안동 상당로81번길 33
110,CGV 청주율량,충청북도 청주시 청원구 율량동 충청대로 114
111,CGV 청주지웰시티,충청북도 청주시 흥덕구 복대1동 대농로 47-1
